City,Zipcode,Neighborhooods,Call Type Group
San Francisco,94124,Bayview Hunters Point,Fire
San Francisco,94109,Nob Hill,Potentially Life-Threatening
San Francisco,94109,Pacific Heights,Non Life-threatening
San Francisco,94122,Sunset/Parkside,Alarm
San Francisco,94112,Bernal Heights,Alarm
San Francisco,94118,Outer Richmond,Alarm
San Francisco,94121,Golden Gate Park,Potentially Life-Threatening
San Francisco,94158,Potrero Hill,Potentially Life-Threatening
San Francisco,94103,South of Market,Potentially Life-Threatening
San Francisco,94103,Castro/Upper Market,Non Life-threatening
San Francisco,94102,Western Addition,Alarm
San Francisco,94124,Bernal Heights,Non Life-threatening
San Francisco,94109,Russian Hill,Fire
San Francisco,94118,Inner Richmond,Potentially Life-Threatening
San Francisco,94108,Financial District/South Beach,Alarm
San Francisco,94131,Twin Peaks,Potentially Life-Threatening
San Francisco,94107,Mission Bay,Fire
San Francisco,94115,Pacific Heights,Alarm
San Francisco,94123,Marina,Fire
San Francisco,94127,Oceanview/Merced/Ingleside,Non Life-threatening
San Francisco,94115,Pacific Heights,Potentially Life-Threatening
San Francisco,94117,Haight Ashbury,Fire
San Francisco,94118,Inner Richmond,Alarm
San Francisco,94104,Chinatown,Potentially Life-Threatening
San Francisco,94108,Financial District/South Beach,Potentially Life-Threatening
San Francisco,94131,Twin Peaks,Alarm
San Francisco,94114,Noe Valley,Non Life-threatening
San Francisco,94102,Western Addition,Potentially Life-Threatening
San Francisco,94131,Noe Valley,Fire
San Francisco,94158,Potrero Hill,Alarm
San Francisco,94103,South of Market,Alarm
San Francisco,94122,Sunset/Parkside,Potentially Life-Threatening
San Francisco,94118,Lone Mountain/USF,Non Life-threatening
San Francisco,94112,Bernal Heights,Potentially Life-Threatening
San Francisco,94118,Outer Richmond,Potentially Life-Threatening
San Francisco,94109,Nob Hill,Alarm
